gtin,gr,matiere,details,rec,gr,matiere,details,gr,matiere,details,commentaires
3023290007310,18,pp,,,, ,,,,,yaourt nesquik
3033710077762,55,carton,,,3,plastique,couleur alu,,,,puree mousline
3038359004544,15,carton,,,17,metal,,,,,Sauce tomate panzani
3045320001518,205,verre,transparent,,22,metal,,,,,Confiture BM370g
3045320001525,205,verre,transparent,,16,metal,,,,,Confiture BM370g
3045320001532,205,verre,transparent,,18,metal,,,,,Confiture BM370g
3045320001549,205,verre,transparent,,27,metal,,,,,Confiture BM370g
3045320001563,205,verre,transparent,,32,metal,,,,,Confiture BM370g
3045320001570,205,verre,transparent,,15,metal,,,,,Confiture BM370g
3045320001587,205,verre,transparent,,19,metal,,,,,Confiture BM370g
3045320001594,205,verre,transparent,,23,metal,,,,,Confiture BM370g
3045320001600,205,verre,transparent,,46,metal,,,,,Confiture BM370g
3045320001631,205,verre,transparent,,25,metal,,,,,Confiture BM370g
3045320001648,205,verre,transparent,,42,metal,,,,,Confiture BM370g
3045320001655,205,verre,transparent,,21,metal,,,,,Confiture BM370g
3045320001679,205,verre,transparent,,26,metal,,,,,Confiture BM370g
3045320001686,205,verre,transparent,,57,metal,,,,,Confiture BM370g
3045320001693,205,verre,transparent,,33,metal,,,,,Confiture BM370g
3045320001709,205,verre,transparent,,34,metal,,,,,Confiture BM370g
3045320001716,205,verre,transparent,,35,metal,,,,,Confiture BM370g
3045320002935,205,verre,transparent,,52,metal,,,,,Confiture BM370g
3045320007190,205,verre,transparent,,41,metal,,,,,Confiture BM370g
3045320007671,205,verre,transparent,,53,metal,,,,,Confiture BM370g
3045320008920,205,verre,transparent,,17,metal,,,,,Confiture BM370g
3045320009293,205,verre,transparent,,29,metal,,,,,Confiture BM370g
3045320009323,205,verre,transparent,,48,metal,,,,,Confiture BM370g
3045320009330,205,verre,transparent,,47,metal,,,,,Confiture BM370g
3045320009354,205,verre,transparent,,58,metal,,,,,Confiture BM370g
3045320009385,205,verre,transparent,,51,metal,,,,,Confiture BM370g
3045320010251,205,verre,transparent,,54,metal,,,,,Confiture BM370g
3045320022247,205,verre,transparent,,20,metal,,,,,Confiture BM370g
3045320023275,205,verre,transparent,,38,metal,,,,,Confiture BM370g
3045320029253,205,verre,transparent,,50,metal,,,,,Confiture BM370g
3045320074123,205,verre,transparent,,43,metal,,,,,Confiture BM370g
3045320082074,205,verre,transparent,,24,metal,,,,,Confiture BM370g
3045320094411,205,verre,transparent,,49,metal,,,,,Confiture BM370g
3045320505962,205,verre,transparent,,31,metal,,,,,Confiture BM370g
3108020266905,43,pet,translucide bleu,,1,plastique,opaque,,,,eau vichy 1.5l
3124480216700,51,pet,transparent,,1,plastique,opaque,,,,jus oasis 2l
3181730199954,63,pehd,,,,,,,,,?
3256220171397,73,carton,marron imprimé,,12, ps,blanc,9,pet,transparent,?
3256221011319,19,carton,fsc c109084,,,,,,,,
3256222642413,32,carton ,gris,,, ,,,,,
3256223027882,75,brique,fsc c081801,,,,,,,,jus U 2l
3256223379479,5,plastique,imprime,,,,,,,,pains lait U
3256223671047,2,plastique,imprime,,,,,,,,chips
3256223683811,38,brique,fsc c014047,,, ,,,,,sauce tomate U
3256224081609,33,pet,transparent,,1,pet,,,,,vinaigrette
3256224224555,29,pet,"opaque blanc, sidel",,1,plastique,bleu,,,,lait U bio
3256224231578,16,brique,fsc c014047,,1,plastique,bleu,,,,crème liquide U
3256225721603,28,plastique,transparent,,7,plastique,blanc,,,,pate tartiner U
3256226756390,8,carton,,,,plastique,,,,,?
3256540001169,15,alu,,,,plastique,,,,,
3258561202013,25,carton,vert,,8,plastique,,,,, 4?pompotes
3274930000110,32,brique,fsc c020428,,,,,,,,
3387390339505,46,carton,marron,,5,plastique, transp,,,,
3419390404997,18,plastique7,,,,,,,,,
3428272950057,,pehd,opaque blanc,,,,,,,,lait bio lactel
3462800000319, ,carton,,,,,,,,,
3484700007939,21,pet,transparent,,2,plastique,,,,,breizh coca 33cl
3537580800487,20,pet,opaque bleu pet ou pp ?,0.5,1,plastique,,,,,saucisse henaff
3556420200560,25,carton,,,5, blister,,,,,
3564700312803,23,plastique,,,,,,,,,bretzel
3608580000471,205,verre,transparent,,14,metal,,,,,Confiture BM370g
3608580007197,205,verre,transparent,,14,metal,,,,,Confiture BM370g
3608580007203,205,verre,transparent,,14,metal,,,,,Confiture BM370g
3608580730231,205,verre,transparent,,14,metal,,,,,Confiture BM370g
3608580745358,205,verre,transparent,,14,metal,,,,,Confiture BM370g
3608580745365,205,verre,transparent,,14,metal,,,,,Confiture BM370g
3608580745372,205,verre,transparent,,14,metal,,,,,Confiture BM370g
3608580760979,205,verre,transparent,,14,metal,,,,,Confiture BM370g
3608580760986,205,verre,transparent,,14,metal,,,,,Confiture BM370g
3608580761884,205,verre,transparent,,14,metal,,,,,Confiture BM370g
3608580789758,300,verre,transparent,,12,metal,,,,,compote andros
3608580797159,205,verre,transparent,,14,metal,,,,,Confiture BM370g
3760121210807,11,PP,opaque blanc,,1, alu,,,,,crème biocoop
3770002743010,12,carton,,,4,pp,,,,,yaourt 29
7613035833302,36,pete 1,translucide bleu,,,,,,,,eau perrier
8000500045176,4,aluminim,imprime,,,,,,,,kinder pere noel
